host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy
f,1,f,Scott,House,Private room,4,1,1,2,Real Bed,350,,1,0,1,6,0,,f,flexible
f,1,t,Ramsey,Apartment,Entire home/apt,4,1,1,2,Real Bed,85,250,1,0,9,45,105,92,f,strict_14_with_grace_period
f,1,t,Hennepin,Apartment,Entire home/apt,4,1,1,1,Real Bed,150,300,1,0,2,1125,26,95,f,strict_14_with_grace_period
t,10,t,Hennepin,Apartment,Entire home/apt,4,1,2,2,Real Bed,155,500,4,40,7,365,22,86,t,strict_14_with_grace_period
t,10,t,Hennepin,Apartment,Entire home/apt,5,1,2,2,Real Bed,155,500,4,40,7,365,17,86,t,strict_14_with_grace_period
t,10,t,Hennepin,Apartment,Entire home/apt,3,1,1,2,Real Bed,135,500,2,40,7,365,18,86,t,strict_14_with_grace_period
f,1,t,Hennepin,House,Private room,3,1,1,2,Real Bed,75,300,2,50,2,30,37,98,f,moderate
f,41,f,Hennepin,Apartment,Entire home/apt,10,1,3,8,Real Bed,189,300,6,6,2,365,7,91,f,moderate
f,41,f,Hennepin,House,Entire home/apt,16,3,8,16,Real Bed,637,500,16,5,2,365,2,90,f,moderate
f,3,t,Hennepin,House,Private room,1,1.5,1,1,Real Bed,55,,1,0,3,1125,16,96,f,strict_14_with_grace_period
f,1,t,Hennepin,House,Entire home/apt,4,1,2,3,Real Bed,70,300,2,10,1,1125,21,85,t,strict_14_with_grace_period
t,1,t,Anoka,House,Private room,3,1,1,1,Real Bed,50,,2,10,1,14,119,97,f,moderate
t,6,f,Hennepin,Condominium,Entire home/apt,2,1,0,0,Real Bed,57,500,1,25,30,1125,13,95,t,flexible
f,3,t,Hennepin,Apartment,Entire home/apt,6,1,3,4,Real Bed,180,200,2,35,1,1125,129,93,f,strict_14_with_grace_period
f,1,t,Ramsey,House,Entire home/apt,4,1,2,2,Real Bed,300,500,2,20,3,1125,29,96,f,strict_14_with_grace_period
