host_is_superhost,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,cancellation_policy
t,3,t,Hennepin,House,Private room,3,1.5,1,1,69,100,2,1125,91,f,moderate
t,3,t,Ramsey,House,Private room,2,1,1,1,85,100,2,1125,14,f,strict_14_with_grace_period
t,3,t,Ramsey,House,Private room,2,1,1,1,75,100,2,1125,32,f,strict_14_with_grace_period
t,7,f,Hennepin,House,Private room,4,1,0,1,100,200,2,1125,193,f,flexible
t,3,t,Ramsey,House,Private room,2,1,1,1,50,100,2,1125,54,f,moderate
t,1,t,Washington,House,Private room,2,1,1,1,65,,1,1125,81,f,moderate
t,1,t,Hennepin,House,Private room,2,3,1,0,89,,2,1125,59,f,moderate
f,1,t,Hennepin,Townhouse,Private room,1,1,1,1,75,200,1,3,0,f,flexible
t,1,t,Mille Lacs,House,Entire home/apt,8,2.5,4,5,265,0,2,60,99,f,moderate
f,1,t,Hennepin,Townhouse,Private room,6,1,1,4,75,,1,14,19,f,flexible
t,10,t,Hennepin,Apartment,Entire home/apt,5,1,2,2,155,500,7,365,13,t,strict_14_with_grace_period
f,2,t,Hennepin,Guest suite,Private room,5,1,3,2,75,100,2,1125,1,f,moderate
f,1,t,Hennepin,House,Private room,2,1,1,1,42,,1,1125,93,t,moderate
t,7,f,Hennepin,Apartment,Entire home/apt,5,1,2,3,100,200,2,1125,154,f,flexible
t,7,f,Hennepin,Apartment,Entire home/apt,4,1,1,1,120,200,3,1125,109,f,flexible
t,1,f,Ramsey,House,Private room,2,2.5,1,1,75,,1,1125,124,f,moderate
f,41,f,Hennepin,Townhouse,Entire home/apt,10,1,3,8,246,300,2,365,16,f,moderate
t,7,f,Hennepin,Apartment,Entire home/apt,4,1,1,1,120,200,3,1125,35,f,flexible
t,1,t,Hennepin,Guest suite,Entire home/apt,2,1,1,1,90,0,2,14,297,f,moderate
t,3,t,Ramsey,House,Private room,2,1,1,2,35,100,2,100,78,f,moderate
f,1,t,Hennepin,House,Entire home/apt,8,1.5,3,3,155,5000,3,10,21,f,moderate
f,2,t,Hennepin,House,Private room,2,1,1,1,64,250,3,1125,6,f,moderate
f,3,t,Hennepin,Apartment,Entire home/apt,3,1,2,2,55,1500,60,1125,1,t,moderate
f,3,t,Hennepin,Apartment,Entire home/apt,4,1,2,2,400,3000,60,1125,1,t,moderate
f,2,t,Hennepin,Other,Entire home/apt,4,1,1,2,75,,2,15,1,f,strict_14_with_grace_period
f,2,t,Ramsey,House,Entire home/apt,6,1.5,3,4,155,300,3,28,53,f,strict_14_with_grace_period
t,3,f,Hennepin,House,Private room,1,1,1,0,60,100,2,10,171,f,moderate
f,41,f,Anoka,Apartment,Entire home/apt,16,2,6,12,405,600,2,365,1,f,strict_14_with_grace_period
f,1,t,Hennepin,Bungalow,Private room,2,1,1,1,85,,2,1125,7,f,flexible
t,1,t,Hennepin,House,Entire home/apt,8,2,3,3,65,0,2,1125,8,t,flexible
t,1,f,Hennepin,Bed and breakfast,Private room,2,1,1,1,119,0,1,30,19,f,moderate
f,3,t,Hennepin,House,Private room,2,1,1,1,35,250,1,92,78,t,moderate
f,3,f,Hennepin,House,Entire home/apt,8,1,2,2,279,500,3,1125,14,f,strict_14_with_grace_period
f,4,t,Hennepin,House,Private room,2,1,1,1,45,0,1,1125,219,f,moderate
f,4,t,Hennepin,House,Private room,2,2,1,1,55,0,1,1125,223,f,moderate
t,3,f,Hennepin,House,Private room,1,1,1,1,60,100,2,15,187,f,moderate
t,15,t,Hennepin,Apartment,Entire home/apt,4,2,2,2,100,,3,1125,3,f,flexible
f,4,f,Hennepin,House,Private room,1,2,1,2,39,,2,1125,68,t,moderate
f,2,f,Isanti,House,Entire home/apt,6,2,2,3,220,600,7,14,0,f,strict_14_with_grace_period
t,1,t,Pierce,House,Private room,2,1,1,1,55,100,1,15,60,f,flexible
f,1,t,Hennepin,House,Entire home/apt,10,2.5,5,6,375,1000,2,1125,15,f,strict_14_with_grace_period
f,4,f,Hennepin,House,Private room,1,1,1,1,35,,2,1125,73,t,flexible
f,1,t,Ramsey,House,Entire home/apt,6,1,3,3,100,1500,14,1125,16,f,moderate
f,4,f,Hennepin,House,Private room,2,1,1,1,39,0,2,1125,36,f,moderate
t,4,t,Ramsey,House,Entire home/apt,2,1,2,2,125,100,2,24,275,f,moderate
f,4,f,Ramsey,Boutique hotel,Private room,2,1,1,1,99,1500,2,4,18,f,strict_14_with_grace_period
f,4,f,Ramsey,Boutique hotel,Private room,2,1,1,1,135,1500,2,12,10,f,strict_14_with_grace_period
f,3,t,Hennepin,House,Private room,2,1,1,1,40,0,2,7,2,f,flexible
f,1,t,Hennepin,House,Entire home/apt,10,2,4,4,550,500,3,1125,23,f,moderate
t,2,t,Ramsey,House,Private room,1,1.5,1,1,80,,1,1125,24,f,flexible
f,1,t,Hennepin,Apartment,Entire home/apt,4,1,1,2,110,500,4,28,38,f,strict_14_with_grace_period
t,130,f,Hennepin,House,Entire home/apt,6,1,2,2,500,500,2,1125,67,f,moderate
t,1,f,Hennepin,Condominium,Private room,2,1,1,1,95,100,2,1125,138,t,moderate
f,1,t,Hennepin,House,Private room,2,1,1,2,80,,3,15,0,f,strict_14_with_grace_period
f,1,t,Ramsey,House,Private room,2,1,1,1,36,0,1,1125,49,f,moderate
f,17,t,Hennepin,House,Entire home/apt,4,1,1,2,100,0,2,1125,3,f,strict_14_with_grace_period
t,5,t,Hennepin,Apartment,Entire home/apt,8,1,4,4,249,500,1,15,115,f,moderate
f,41,f,Anoka,House,Entire home/apt,16,6,10,16,970,1000,2,365,0,f,moderate
f,41,f,Anoka,Apartment,Entire home/apt,16,3,9,16,557,900,2,365,0,f,moderate
t,3,t,Anoka,House,Private room,1,1.5,1,1,38,0,3,10,95,f,moderate
t,1,t,Hennepin,House,Private room,2,1,1,0,65,0,2,360,143,f,flexible
f,1,t,Hennepin,House,Private room,2,1,1,1,200,,1,1125,0,f,flexible
t,2,t,Dakota,House,Entire home/apt,16,2,5,4,835,1500,1,1125,238,t,strict_14_with_grace_period
f,2,t,Hennepin,House,Private room,2,1,1,3,80,500,2,14,2,f,strict_14_with_grace_period
f,2,t,Hennepin,House,Entire home/apt,3,1,1,1,99,0,2,365,349,f,strict_14_with_grace_period
f,4,f,Hennepin,House,Private room,1,1,1,2,29,0,2,1125,20,t,moderate
t,7,t,Hennepin,Apartment,Entire home/apt,2,1,1,1,110,500,3,1125,23,f,flexible
t,5,t,Hennepin,Apartment,Entire home/apt,2,1,1,1,92,125,1,15,169,f,moderate
t,3,t,Hennepin,Townhouse,Entire home/apt,7,1,2,2,119,300,3,1125,3,f,moderate
f,1,t,Washington,House,Entire home/apt,14,3,6,7,650,500,2,1125,26,f,strict_14_with_grace_period
f,1,f,Wright,Guesthouse,Entire home/apt,2,1,1,1,150,,1,1125,38,f,moderate
f,1,t,St. Croix,Chalet,Entire home/apt,5,2,2,3,260,500,3,30,19,t,strict_14_with_grace_period
f,1,t,Hennepin,Bungalow,Private room,2,1,1,1,120,100,1,1125,49,f,flexible
t,1,f,Hennepin,House,Entire home/apt,4,1,2,2,89,0,2,15,182,f,flexible
f,2,t,Hennepin,House,Entire home/apt,3,2,2,2,150,300,3,1125,2,f,strict_14_with_grace_period
t,1,t,Ramsey,Cabin,Entire home/apt,5,1,2,3,175,250,2,1125,108,f,moderate
t,1,t,Hennepin,House,Private room,4,1,2,2,55,0,2,1125,168,f,moderate
